name,theme,product_code,ageRange,pieceCount,price,minifigureCount,buildHeight,buildWidth,buildDepth,url,date
Sportzubehör,Xtra,40375,6+,36.0,3.99,,,,,/de-de/product/sports-accessories-40375,2023-09-21
RÄTSELBOX FÜR ZAUBERSCHÜLER,Harry Potter™,5007355,6+,0.0,14.99,,,,,/de-de/product/ratselbox-fur-zauberschuler-5007355,2023-09-21
Captain Americas Schild,Marvel,76262,18+,3128.0,209.99,,,,,/de-de/product/tbd-lsh-19-2023-76262,2023-09-21
Die Kaninchenranch,Minecraft®,21181,8+,340.0,34.99,,,,,/de-de/product/the-rabbit-ranch-21181,2023-09-21
Meis Schutzdrache,Monkie Kid™,80047,9+,605.0,52.99,,,,,/de-de/product/meis-guardian-dragon-80047,2023-09-21
Rätselspaß für Retter in der Not,City,5007359,6+,0.0,4.99,,,,,/de-de/product/ratselspa-fur-retter-in-der-not-5007359,2023-09-21
LEGO® l Disney Die Eiskönigin 2 Anna-Schlüsselanhänger,Die Eiskönigin,853969,6+,0.0,5.99,,,,,/de-de/product/lego--disney-frozen-2-anna-key-chain-853969,2023-09-21
LEGO® l Disney Die Eiskönigin 2 Elsa-Schlüsselanhänger,Die Eiskönigin,853968,6+,0.0,5.99,,,,,/de-de/product/lego--disney-frozen-2-elsa-key-chain-853968,2023-09-21
Rätselspaß für Zauberschüler,Harry Potter™,5007363,6+,0.0,4.99,,,,,/de-de/product/ratselspa-fur-zauberschuler-5007363,2023-09-21
Rätselspaß für Quidditch-Fans,Harry Potter™,5007358,6+,0.0,4.99,,,,,/de-de/product/ratselspa-fur-quidditch-fans-5007358,2023-09-21
Rätselspaß für Dino-Fans,Jurassic World™,5007364,7+,0.0,4.99,,,,,/de-de/product/ratselspa-fur-dino-fans-5007364,2023-09-21
Cheops-Pyramide,Architecture,21058,18+,1476.0,139.99,,,,,/de-de/product/great-pyramid-of-giza-21058,2023-02-28
New York City,Architecture,21028,12+,598.0,49.99,,,,,/de-de/product/new-york-city-21028,2023-02-28
Taj Mahal,Architecture,21056,18+,2022.0,119.99,,"H: 8"" (20cm)","B: 10"" (23cm)","T: 10"" (23cm)",/de-de/product/taj-mahal-21056,2023-02-28
London,Architecture,21034,12+,468.0,39.99,,,,,/de-de/product/london-21034,2023-02-28
Paris,Architecture,21044,12+,649.0,49.99,,,,,/de-de/product/paris-21044,2023-02-28
Freiheitsstatue,Architecture,21042,16+,1685.0,99.99,,,,,/de-de/product/statue-of-liberty-21042,2023-02-28
Das Weiße Haus,Architecture,21054,18+,1483.0,99.99,,,,,/de-de/product/the-white-house-21054,2023-02-28
Singapur,Architecture,21057,18+,827.0,59.99,,,,,/de-de/product/singapore-21057,2023-02-28
LEGO® DC Batman™ – Batmobile™ Tumbler,DC,76240,18+,2049.0,269.99,,,,,/de-de/product/lego-dc-batman-batmobile-tumbler-76240,2023-02-28
BATMANS BATMOBIL™,Technic,42127,10+,1360.0,99.99,,,,,/de-de/product/the-batman-batmobile-42127,2023-02-28
Batman™ Schlüsselanhänger,Batman™,854235,6+,,5.99,,,,,/de-de/product/batman-key-chain-854235,2023-02-28
Jim Lee Batman™ Kollektion,Art,31205,18+,4167.0,119.99,,,,,/de-de/product/jim-lee-batman-collection-31205,2023-02-28
Batmobile™: Verfolgung des Pinguins™,DC,76181,8+,392.0,29.99,,,,,/de-de/product/tbd-lsh-14-2021-76181,2023-02-28
Harley Quinn™ Schlüsselanhänger,Batman™,854238,6+,,5.99,,,,,/de-de/product/harley-quinn-key-chain-854238,2023-02-28
Batman™ vs. Harley Quinn™,Batman™,76220,4+,42.0,14.99,,,,,/de-de/product/batman-versus-harley-quinn-76220,2023-02-28
Batmobile™ aus dem TV-Klassiker „Batman™“,DC,76188,7+,345.0,34.99,,,,,/de-de/product/batman-classic-tv-series-batmobile-76188,2023-02-28
Batman™,DC,40386,8+,115.0,19.99,,,,,/de-de/product/batman-40386,2023-02-28
Joker™,DC,40428,8+,170.0,19.99,,,,,/de-de/product/the-joker-40428,2023-02-28
THE LEGO® BATMAN MOVIE – GEPÄCKANHÄNGER,Batman™,5005273,6+,,9.99,,,,,/de-de/product/5005273,2023-02-28
THE LEGO BATMAN MOVIE HARLEY QUINN GEPÄCKANHÄNGER,Batman™,5005296,6+,,9.99,,,,,/de-de/product/lego-batman-movie-hq-luggage-tag-5005296,2023-02-28
Batman™ Maske aus dem TV-Klassiker,Batman™,76238,18+,372.0,59.99,,,,,/de-de/product/tbd-mdp-extra-6-2021-76238,2023-02-28
Batman™ Schlüsselanhänger,Batman™,853951,6+,,5.99,,,,,/de-de/product/batman-keyring-853951,2023-02-28
